StudentId,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,House
1,A,A,B,A,B,A,A,A,A,A,A,C,A,A,E,D,A,A,A,A,A,A,B,A,A,A,C,Gryffindor
2,A,A,B,A,B,A,A,A,A,A,A,C,A,A,E,D,A,A,A,A,A,A,C,A,A,B,A,Gryffindor
3,A,A,B,A,B,A,A,A,A,A,B,A,A,A,C,A,A,A,E,A,A,A,A,B,A,A,B,Gryffindor
4,A,A,B,A,B,A,A,A,A,A,A,F,D,A,A,A,A,B,A,A,A,A,A,C,A,C,A,Gryffindor
5,A,A,B,A,A,A,A,B,A,A,A,C,A,B,A,A,A,A,B,A,A,A,B,A,A,B,A,Gryffindor
6,A,A,B,A,A,A,A,B,A,A,A,C,C,A,A,D,A,A,A,A,A,B,A,A,A,C,A,Gryffindor
7,A,A,B,A,A,A,A,B,A,A,F,A,D,A,A,A,E,A,A,A,A,A,B,A,A,A,B,Gryffindor
8,A,A,B,A,A,A,A,B,A,A,G,A,A,H,A,A,A,A,A,E,A,A,B,A,A,A,B,Gryffindor
9,A,A,B,A,C,A,A,A,A,B,A,A,D,A,A,A,C,A,A,A,A,B,A,A,A,B,A,Gryffindor
10,A,A,B,A,C,A,A,A,A,B,A,A,A,A,H,E,A,A,A,A,A,A,C,A,A,A,B,Gryffindor
11,A,A,B,A,C,A,A,A,A,D,A,A,D,A,A,A,A,A,A,B,A,A,A,C,A,B,A,Gryffindor
12,A,A,B,A,C,A,A,A,A,E,A,A,A,B,A,A,A,A,A,B,A,A,B,A,A,A,B,Gryffindor
13,A,A,B,A,C,A,A,A,A,E,A,A,A,B,A,A,E,A,A,A,A,C,A,A,A,C,A,Gryffindor
14,A,A,B,A,C,A,A,A,A,A,B,A,A,B,A,A,A,E,A,A,A,A,B,A,A,C,A,Gryffindor
15,A,A,B,A,C,A,A,A,A,A,C,A,A,A,C,A,A,A,D,A,A,B,A,A,A,A,C,Gryffindor
16,A,A,B,A,C,A,A,A,A,A,C,A,A,A,C,A,A,A,A,C,A,A,B,A,C,A,A,Gryffindor
17,A,A,B,A,C,A,A,A,A,A,E,A,A,A,C,A,B,A,A,A,A,A,C,A,A,B,A,Gryffindor
18,A,A,B,A,C,A,A,A,A,A,F,A,C,A,A,A,E,A,A,A,A,B,A,A,A,A,C,Gryffindor
19,A,A,B,A,C,A,A,A,A,A,G,A,A,A,D,A,B,A,A,A,A,A,C,A,A,C,A,Gryffindor
20,A,A,B,A,C,A,A,A,A,A,G,A,A,A,D,A,A,E,A,A,A,A,B,A,A,A,B,Gryffindor
21,A,A,B,A,C,A,A,A,A,A,G,A,A,B,A,A,A,A,B,A,A,A,B,A,A,A,B,Gryffindor
22,A,A,B,A,C,A,A,A,A,A,G,A,A,B,A,D,A,A,A,A,A,B,A,A,A,C,A,Gryffindor
23,A,A,B,A,A,A,C,A,A,A,A,C,A,B,A,A,A,A,B,A,A,A,B,A,A,A,B,Gryffindor
24,A,A,B,A,A,A,C,A,A,A,A,C,A,B,A,A,A,A,A,D,A,A,B,A,C,A,A,Gryffindor
25,A,A,B,A,A,A,C,A,A,A,A,C,C,A,A,A,A,A,A,B,A,B,A,A,B,A,A,Gryffindor
26,A,A,B,A,A,A,C,A,A,A,G,A,E,A,A,A,E,A,A,A,A,A,A,B,A,A,B,Gryffindor
27,A,A,B,A,A,A,D,A,A,B,A,A,D,A,A,A,A,A,B,A,A,A,B,A,A,C,A,Gryffindor
28,A,A,B,A,A,A,D,A,A,A,A,B,A,B,A,A,A,A,A,A,D,B,A,A,A,A,B,Gryffindor
29,A,A,B,A,A,A,D,A,A,A,A,B,A,A,E,D,A,A,A,A,A,A,C,A,A,B,A,Gryffindor
30,A,A,B,A,A,A,D,A,A,A,A,B,D,A,A,A,B,A,A,A,A,A,A,C,A,B,A,Gryffindor
31,A,A,B,A,A,A,D,A,A,A,A,C,A,A,H,A,A,E,A,A,A,A,B,A,A,C,A,Gryffindor
32,A,A,B,A,A,A,D,A,A,A,A,D,A,F,A,D,A,A,A,A,A,B,A,A,A,C,A,Gryffindor
33,A,A,B,A,A,A,D,A,A,A,A,D,A,H,A,A,B,A,A,A,A,A,B,A,A,C,A,Gryffindor
34,A,A,B,A,A,A,D,A,A,D,A,A,C,A,A,A,A,A,A,E,A,A,B,A,A,A,B,Gryffindor
35,A,A,B,A,A,A,D,A,A,D,A,A,D,A,A,A,A,D,A,A,A,A,B,A,A,C,A,Gryffindor
36,A,A,B,A,A,A,D,A,A,E,A,A,A,A,F,A,A,A,A,E,A,A,B,A,A,A,B,Gryffindor
37,A,A,B,A,A,A,D,A,A,A,B,A,A,A,D,A,A,A,A,B,A,A,A,C,A,C,A,Gryffindor
38,A,A,B,A,A,A,D,A,A,A,C,A,D,A,A,A,A,A,A,E,A,A,B,A,C,A,A,Gryffindor
39,A,A,B,A,A,A,D,A,A,A,C,A,A,H,A,A,E,A,A,A,A,A,B,A,C,A,A,Gryffindor
40,A,A,B,A,A,A,D,A,A,A,E,A,D,A,A,A,E,A,A,A,A,A,B,A,A,C,A,Gryffindor
41,A,A,B,A,A,A,D,A,A,A,G,A,D,A,A,A,A,A,C,A,A,A,C,A,A,B,A,Gryffindor
42,A,A,B,A,A,B,A,A,A,E,A,A,A,A,D,A,A,E,A,A,A,B,A,A,A,A,C,Gryffindor
43,A,A,B,A,A,B,A,A,A,A,G,A,C,A,A,A,A,A,A,A,C,A,B,A,A,C,A,Gryffindor
44,A,A,B,A,A,A,A,A,B,A,B,A,B,A,A,A,A,A,C,A,A,A,C,A,A,C,A,Gryffindor
45,A,A,B,A,A,A,A,A,B,A,G,A,A,B,A,A,A,A,A,E,A,A,C,A,A,A,B,Gryffindor
46,A,A,B,A,A,A,A,A,C,A,A,C,D,A,A,A,A,B,A,A,A,A,A,B,C,A,A,Gryffindor
47,A,A,B,A,A,A,A,A,C,D,A,A,A,A,D,A,B,A,A,A,A,A,A,C,A,A,B,Gryffindor
48,A,A,B,A,A,A,A,A,D,A,A,C,A,B,A,A,A,A,A,A,C,A,B,A,A,C,A,Gryffindor
49,A,A,B,A,A,A,A,A,D,A,A,C,B,A,A,A,A,A,A,E,A,A,B,A,C,A,A,Gryffindor
50,A,A,B,A,A,A,A,A,D,A,A,C,D,A,A,A,A,E,A,A,A,C,A,A,A,C,A,Gryffindor
51,A,A,B,A,A,A,A,A,D,A,A,C,E,A,A,D,A,A,A,A,A,B,A,A,A,B,A,Gryffindor
52,A,A,B,A,A,A,A,A,D,A,A,C,A,F,A,A,A,A,A,E,A,A,A,B,A,B,A,Gryffindor
53,A,A,B,A,A,A,A,A,D,A,A,D,D,A,A,A,A,A,A,C,A,A,A,B,C,A,A,Gryffindor
54,A,A,B,A,A,A,A,A,D,D,A,A,A,B,A,A,A,A,A,D,A,B,A,A,A,C,A,Gryffindor
55,A,A,B,A,A,A,A,A,D,E,A,A,C,A,A,A,B,A,A,A,A,A,A,B,A,B,A,Gryffindor
56,A,A,B,A,A,A,A,A,D,A,F,A,A,B,A,A,A,A,E,A,A,A,B,A,A,A,B,Gryffindor
57,A,A,B,A,A,A,A,A,D,A,G,A,A,B,A,A,A,A,B,A,A,A,B,A,A,C,A,Gryffindor
58,A,A,B,A,A,A,A,C,A,A,G,A,C,A,A,A,A,A,A,A,D,A,C,A,A,A,B,Gryffindor
59,A,A,B,A,D,A,A,A,A,D,A,A,B,A,A,A,A,A,B,A,A,A,C,A,A,A,B,Gryffindor
60,A,A,B,A,D,A,A,A,A,D,A,A,A,A,E,D,A,A,A,A,A,A,A,C,A,A,B,Gryffindor
61,A,A,B,A,A,A,E,A,A,D,A,A,E,A,A,D,A,A,A,A,A,B,A,A,A,A,C,Gryffindor
62,A,A,B,A,A,A,E,A,A,A,G,A,E,A,A,A,A,A,A,E,A,B,A,A,A,C,A,Gryffindor
63,A,A,B,A,A,C,A,A,A,B,A,A,B,A,A,A,C,A,A,A,A,A,B,A,A,C,A,Gryffindor
64,A,A,B,A,A,C,A,A,A,A,A,C,A,B,A,A,A,A,B,A,A,A,B,A,A,A,B,Gryffindor
65,A,A,B,A,A,C,A,A,A,D,A,A,A,B,A,A,A,A,B,A,A,B,A,A,A,A,B,Gryffindor
66,A,A,B,A,A,C,A,A,A,D,A,A,C,A,A,A,A,E,A,A,A,B,A,A,C,A,A,Gryffindor
67,A,A,B,A,A,C,A,A,A,A,F,A,A,B,A,A,A,B,A,A,A,A,C,A,A,A,B,Gryffindor
68,A,A,B,A,A,C,A,A,A,A,F,A,D,A,A,A,A,A,A,B,A,A,B,A,A,C,A,Gryffindor
69,A,A,B,A,A,D,A,A,A,A,A,B,A,A,D,A,A,A,A,E,A,B,A,A,C,A,A,Gryffindor
70,A,A,B,A,A,D,A,A,A,A,A,C,A,A,D,A,A,A,A,E,A,A,B,A,C,A,A,Gryffindor
71,A,A,B,A,A,D,A,A,A,A,A,C,A,A,E,A,C,A,A,A,A,B,A,A,B,A,A,Gryffindor
72,A,A,B,A,A,D,A,A,A,D,A,A,E,A,A,A,A,A,A,E,A,A,B,A,A,C,A,Gryffindor
73,A,A,B,A,A,D,A,A,A,A,C,A,G,A,A,C,A,A,A,A,A,B,A,A,A,A,B,Gryffindor
74,A,A,B,A,A,D,A,A,A,A,C,A,F,A,A,A,A,E,A,A,A,A,B,A,C,A,A,Gryffindor
75,A,A,B,A,A,D,A,A,A,G,A,A,B,A,A,A,A,A,A,A,C,A,B,A,A,B,A,Gryffindor
76,A,A,B,A,A,A,A,A,E,A,A,C,B,A,A,D,A,A,A,A,A,A,B,A,A,C,A,Gryffindor
